"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"USA","United States","FTDS","Foreign-trained doctors - Stock","LBY","Libya","2016","2016",304,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","MDG","Madagascar","2016","2016",2,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","MWI","Malawi","2016","2016",5,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","MYS","Malaysia","2016","2016",70,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","MLT","Malta","2016","2016",37,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","MEX","Mexico","2016","2016",9923,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","MNG","Mongolia","2016","2016",6,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","MAR","Morocco","2016","2016",106,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","MMR","Myanmar","2016","2016",1052,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","NPL","Nepal","2016","2016",867,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","NLD","Netherlands","2016","2016",2870,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","NZL","New Zealand","2016","2016",245,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","NIC","Nicaragua","2016","2016",211,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","NGA","Nigeria","2016","2016",3634,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","NOR","Norway","2016","2016",42,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","OMN","Oman","2016","2016",14,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","PAK","Pakistan","2016","2016",12454,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","PAN","Panama","2016","2016",262,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","PNG","Papua New Guinea","2016","2016",3,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","PRY","Paraguay","2016","2016",172,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","PER","Peru","2016","2016",1528,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","PHL","Philippines","2016","2016",10217,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","POL","Poland","2016","2016",2833,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","PRT","Portugal","2016","2016",75,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","KOR","Republic of Korea","2016","2016",1529,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","ROU","Romania","2016","2016",2455,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","RUS","Russian Federation","2016","2016",6021,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","RWA","Rwanda","2016","2016",5,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","KNA","Saint Kitts and Nevis","2016","2016",1391,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","LCA","Saint Lucia","2016","2016",546,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","WSM","Samoa","2016","2016",8,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","SAU","Saudi Arabia","2016","2016",658,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","SEN","Senegal","2016","2016",163,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","SLE","Sierra Leone","2016","2016",10,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","SGP","Singapore","2016","2016",213,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","SOM","Somalia","2016","2016",12,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","ZAF","South Africa","2016","2016",1290,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","ESP","Spain","2016","2016",1552,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","LKA","Sri Lanka","2016","2016",475,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","SDN","Sudan","2016","2016",479,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","SUR","Suriname","2016","2016",4,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","SWE","Sweden","2016","2016",221,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","CHE","Switzerland","2016","2016",369,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","SYR","Syria","2016","2016",3922,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","THA","Thailand","2016","2016",821,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","TGO","Togo","2016","2016",4,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","TTO","Trinidad and Tobago","2016","2016",318,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","TUN","Tunisia","2016","2016",41,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","TUR","Turkey","2016","2016",1337,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","UGA","Uganda","2016","2016",154,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","ARE","United Arab Emirates","2016","2016",78,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","GBR","United Kingdom","2016","2016",4635,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","TZA","United Republic of Tanzania","2016","2016",32,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","URY","Uruguay","2016","2016",129,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","VEN","Venezuela","2016","2016",1186,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","VNM","Viet Nam","2016","2016",435,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","YEM","Yemen","2016","2016",21,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","ZMB","Zambia","2016","2016",75,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","ZWE","Zimbabwe","2016","2016",103,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","TOT","Total","2016","2016",215630,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","NS","Others (not elsewhere classified)","2016","2016",5810,,
